eligible_voters,voters,CDU,SPD,GRUENE,FDP,AFD,LINKE,SONSTIGE,location_address,location_id,latitude,longitude
1731,1013,441,197,83,79,133,26,41,Ittlingen,30.8125047.101,49.1924184,8.932138
0,330,140,82,36,21,28,9,14,Briefwahl Ittlingen,30.8125047.B901,49.1924184,8.932138
876,526,198,103,60,58,65,23,16,Jagsthausen,31.8125048.101,49.3097717,9.4689303
200,139,42,47,19,16,7,5,1,Olnhausen,31.8125048.102,49.3132708,9.4445557
0,202,69,40,34,24,17,4,12,Briefwahl Jagsthausen,31.8125048.B901,49.3097717,9.4689303
1351,768,311,149,28,71,163,20,11,"Rathaus Kirchardt, Vereinsraum",32.8125049.101,49.2046178,8.988574
1119,663,264,116,54,55,115,30,18,Kath. Gemeindehaus,32.8125049.102,49.1469624,9.2320137
1064,641,203,142,60,51,142,20,16,Grundschule Berwangen,32.8125049.201,49.2043916,8.9876428
336,209,82,29,16,14,46,13,8,Ratskeller Bockschaft,32.8125049.301,49.2032508,8.967499199999999
0,560,223,98,46,44,97,17,31,Briefwahl Kirchardt,32.8125049.B901,49.2065724,8.9925642
1814,1201,407,296,115,141,162,34,31,Gemeindehalle Lehrensteinsfeld,33.8125057.101,49.1314897,9.321807999999999
0,333,119,73,29,42,35,16,16,Briefwahl Lehrensteinsfeld,33.8125057.B901,49.1296572,9.322841799999999
273,155,50,31,10,13,33,7,7,Rathaus Löwenstein,35.8125059.101,49.0950059,9.3801042
619,389,129,81,39,56,51,14,16,Gemeindehaus Teusserbad,35.8125059.102,49.1436801,9.2235364
628,425,165,83,40,35,58,22,15,Alter Schulsaal Hößlinsülz,35.8125059.103,49.1115179,9.367357
591,286,97,60,30,29,30,18,14,Schule Reisach,35.8125059.104,49.11874,9.4003801
377,206,61,46,17,22,38,13,7,Hirrweiler Villa Ackermann,35.8125059.105,49.0917407,9.408480899999999
0,474,175,117,43,59,39,19,17,Briefwahl Löwenstein,35.8125059.B901,49.1426929,9.210879
1492,888,337,204,47,64,145,32,43,Neues Rathaus,36.8125061.101,49.142624,9.218359
1125,660,258,153,48,56,87,22,25,Altes Rathaus,36.8125061.102,49.1196491,9.1910324
0,544,259,97,31,55,72,17,13,Briefwahl Massenbachhausen,36.8125061.B901,49.17573180000001,9.046536399999999
1836,981,311,208,66,86,201,51,38,Mediathek Möckmühl,37.8125063.101,49.32338,9.360149999999999
964,502,142,115,45,39,108,22,21,Kindergarten Schwärzweg,37.8125063.102,49.3218502,9.352873599999999
1167,614,206,107,30,40,145,44,22,Kindergarten Hahnenäcker,37.8125063.103,49.32447,9.34774
124,89,24,23,11,10,16,2,3,Altes Schulhaus Bittelbronn,37.8125063.204,49.3397094,9.3189432
192,108,40,19,10,10,17,5,6,Rathaus Korb,37.8125063.305,49.1426929,9.210879
454,277,91,40,16,25,77,12,10,Rathaus Ruchsen,37.8125063.406,49.3232362,9.3606385
817,474,140,126,31,38,92,21,18,Rathaus Züttlingen,37.8125063.507,49.3232362,9.3606385
0,1017,313,234,95,103,157,51,58,Briefwahl Möckmühl,37.8125063.B901,49.3224123,9.3540694
653,327,106,104,23,22,38,19,10,Städtische Musikschule,38.8125065.106,49.1460707,9.2209605
692,424,153,131,18,36,53,18,10,Hermann-Greiner-Realschule,38.8125065.107,49.2000031,9.230259
652,390,113,125,34,26,48,23,15,Kiga Philipp-Wesp,38.8125065.108,49.1997,9.2358
642,372,119,106,22,31,61,12,8,Neubergschule,38.8125065.109,49.19992,9.23941
557,336,125,78,23,27,37,21,14,Neubergschule,38.8125065.110,49.19992,9.23941
644,416,177,115,24,38,44,8,6,Neubergschule,38.8125065.111,49.19992,9.23941
687,485,164,107,32,48,97,14,16,Kiga Harzstraße,38.8125065.112,49.20372,9.2467401
885,544,214,112,39,47,83,26,14,Kiga Harzstraße,38.8125065.113,49.20372,9.2467401
1026,708,301,145,61,54,96,19,20,Kiga Pfarrer Abele,38.8125065.921,49.2105192,9.3011509
750,383,128,80,33,38,52,17,26,Rathaus,38.8125065.201,49.142624,9.218359
750,463,179,96,42,44,61,24,11,Sulmturnhalle,38.8125065.202,49.140462,9.249393999999999
813,459,149,112,40,56,58,21,16,Christian-Schmidt-Schule,38.8125065.203,49.1839107,9.222145399999999
890,499,164,129,49,44,70,18,13,Johannes-Häußler-Schule,38.8125065.204,49.18946,9.22653
672,393,158,95,33,34,47,11,9,Kiga Gerockweg,38.8125065.205,49.18526,9.230760000000002
790,388,115,92,12,16,90,36,16,Pestalozzischule,38.8125065.414,49.14476819999999,9.224868200000001
751,381,87,108,17,28,86,24,12,Pestalozzischule II,38.8125065.415,49.14476819999999,9.224868200000001
843,505,126,93,28,38,155,38,15,Grundschule Amorbach,38.8125065.416,49.21130360000001,9.2549086
1329,727,175,142,26,61,220,53,30,Grundschule Amorbach,38.8125065.417,49.21130360000001,9.2549086
974,595,216,130,52,75,77,22,17,Rathaus Obereisesheim,38.8125065.718,49.2101517,9.2037604
1047,649,210,190,57,49,95,23,19,Wilhelm-Maier-Schule,38.8125065.719,49.1981394,9.2003273
870,580,225,140,42,68,66,21,15,Kiga Robert-Koch,38.8125065.720,49.19284,9.1985
0,887,353,207,70,83,107,31,31,Briefwahl Neckarsulm,38.8125065.B901,49.1922581,9.228708899999999
0,923,352,215,74,109,102,38,28,Briefwahl Neckarsulm 2,38.8125065.B902,49.1922581,9.228708899999999
0,933,346,223,107,105,82,36,29,Briefwahl Neckarsulm 3,38.8125065.B903,49.1922581,9.228708899999999
1779,1080,492,220,64,73,139,51,21,Neudenau,39.8125068.101,49.29255389999999,9.2707338
1180,740,291,163,44,57,121,28,24,Herbolzheim,39.8125068.102,49.28226900000001,9.2586739
702,440,142,86,44,32,93,21,12,Siglingen/ Kreßbach,39.8125068.103,49.30059500000001,9.304382
164,122,56,9,11,17,24,3,2,Reichertshausen,39.8125068.104,49.3142047,9.306126899999999
0,660,287,118,50,51,89,32,25,Briefwahl Neudenau,39.8125068.B901,49.29255389999999,9.2707338
1142,637,194,148,45,51,136,37,19,Bürgerbüro,40.8125069.101,49.1196406,9.1911535
1366,804,292,176,48,87,142,32,19,Grundschule,40.8125069.102,49.1430706,9.192135
842,568,189,89,32,56,125,38,25,Kita Daistler,40.8125069.103,49.2296,9.33188
603,395,151,83,26,44,70,6,15,Rathaus Cleversulzbach,40.8125069.201,49.2371,9.32678
765,490,208,90,27,40,98,13,7,Gemeindehalle Kochertürn,40.8125069.301,49.2462946,9.3084702
979,640,257,109,31,48,144,24,17,Rathaus Stein a. K.,40.8125069.401,49.142624,9.218359
933,606,283,107,25,35,112,21,17,Grundschule Stein a. K.,40.8125069.402,49.262625,9.2974585
615,409,118,107,23,42,79,16,17,Bürgerhaus Bürg,40.8125069.501,49.1426929,9.210879
0,1272,522,253,86,119,192,51,43,Briefwahl Neuenstadt a. K.,40.8125069.B901,49.2371,9.32678
1238,756,309,162,58,61,104,26,33,Rathaus,41.8125078.101,49.142624,9.218359
1311,846,345,179,67,70,109,34,31,Kochana,41.8125078.102,49.2412346,9.2574916
787,451,174,95,44,47,59,19,11,Kochertalschule,41.8125078.103,49.24091,9.2444299
684,404,159,91,33,34,57,16,12,Seniorenwohnanlage,41.8125078.104,49.1373723,9.2169296
626,425,144,105,36,32,72,16,9,Mehrzweckhalle Degmarn,41.8125078.204,49.2502893,9.2840669
0,921,361,209,71,94,102,25,42,Briefwahl Oedheim,41.8125078.B901,49.2397271,9.2559089
1979,1183,424,298,83,71,201,51,42,Offenau,42.8125079.101,49.2448,9.1652747
0,420,181,105,29,24,53,13,12,Briefwahl Offenau,42.8125079.B901,49.2448,9.1652747
974,576,231,129,35,39,94,21,14,Roigheim,43.8125084.101,49.3642288,9.3427432
0,186,74,33,13,14,28,12,10,Briefwahl Roigheim,43.8125084.B901,49.3642288,9.3427432
